識別番号,漢字,種類,異体字(表に含む),漢検級
1788,丙,1. 常用漢字の通用字体,,準2級
1789,平,1. 常用漢字の通用字体,,8級
1790,兵,1. 常用漢字の通用字体,,7級
1791,併,1. 常用漢字の通用字体,,準2級
1792,並,1. 常用漢字の通用字体,,5級
1793,柄,1. 常用漢字の通用字体,,4級
1794,陛,1. 常用漢字の通用字体,,5級
1795,閉,1. 常用漢字の通用字体,,5級
1796,塀,1. 常用漢字の通用字体,,準2級
1797,幣,1. 常用漢字の通用字体,,準2級
1798,弊,1. 常用漢字の通用字体,,準2級
1799,蔽,1. 常用漢字の通用字体,,2級
1800,餅,1. 常用漢字の通用字体,,2級
1801,米,1. 常用漢字の通用字体,,9級
1802,壁,1. 常用漢字の通用字体,,4級
1803,璧,1. 常用漢字の通用字体,,2級
1804,癖,1. 常用漢字の通用字体,,3級
1805,別,1. 常用漢字の通用字体,,7級
1806,蔑,1. 常用漢字の通用字体,,2級
1807,片,1. 常用漢字の通用字体,,5級
1808,辺,1. 常用漢字の通用字体,,7級
1809,返,1. 常用漢字の通用字体,,8級
1810,変,1. 常用漢字の通用字体,,7級
1811,偏,1. 常用漢字の通用字体,,準2級
1812,遍,1. 常用漢字の通用字体,,準2級
1813,編,1. 常用漢字の通用字体,,6級
1814,弁,1. 常用漢字の通用字体,,6級
1815,便,1. 常用漢字の通用字体,,7級
1816,勉,1. 常用漢字の通用字体,勉,8級
1817,歩,1. 常用漢字の通用字体,步,9級
1818,保,1. 常用漢字の通用字体,,6級
1819,哺,1. 常用漢字の通用字体,,2級
1820,捕,1. 常用漢字の通用字体,,4級
1821,補,1. 常用漢字の通用字体,,5級
1822,舗,1. 常用漢字の通用字体,,4級
1823,母,1. 常用漢字の通用字体,,9級
1824,募,1. 常用漢字の通用字体,,3級
1825,墓,1. 常用漢字の通用字体,,6級
1826,慕,1. 常用漢字の通用字体,,3級
1827,暮,1. 常用漢字の通用字体,,5級
1828,簿,1. 常用漢字の通用字体,,3級
1829,方,1. 常用漢字の通用字体,,9級
1830,包,1. 常用漢字の通用字体,,7級
1831,芳,1. 常用漢字の通用字体,,3級
1832,邦,1. 常用漢字の通用字体,,3級
1833,奉,1. 常用漢字の通用字体,,3級
1834,宝,1. 常用漢字の通用字体,,5級
1835,抱,1. 常用漢字の通用字体,,4級
1836,放,1. 常用漢字の通用字体,,8級
1837,法,1. 常用漢字の通用字体,,7級
1838,泡,1. 常用漢字の通用字体,,準2級
1839,胞,1. 常用漢字の通用字体,,3級
1840,俸,1. 常用漢字の通用字体,,準2級
1841,倣,1. 常用漢字の通用字体,,3級
1842,峰,1. 常用漢字の通用字体,峯,4級
1843,砲,1. 常用漢字の通用字体,,4級
1844,崩,1. 常用漢字の通用字体,,3級
1845,訪,1. 常用漢字の通用字体,,5級
1846,報,1. 常用漢字の通用字体,,6級
1847,蜂,1. 常用漢字の通用字体,,2級
1848,豊,1. 常用漢字の通用字体,,6級
1849,飽,1. 常用漢字の通用字体,,3級
1850,褒,1. 常用漢字の通用字体,,準2級
1851,縫,1. 常用漢字の通用字体,,3級
1852,亡,1. 常用漢字の通用字体,,5級
1853,乏,1. 常用漢字の通用字体,,3級
1854,忙,1. 常用漢字の通用字体,,4級
1855,坊,1. 常用漢字の通用字体,,4級
1856,妨,1. 常用漢字の通用字体,,3級
1857,忘,1. 常用漢字の通用字体,,5級
1858,防,1. 常用漢字の通用字体,,6級
1859,房,1. 常用漢字の通用字体,,3級
1860,肪,1. 常用漢字の通用字体,,4級
1861,某,1. 常用漢字の通用字体,,3級
1862,冒,1. 常用漢字の通用字体,,4級
1863,剖,1. 常用漢字の通用字体,,準2級
1864,紡,1. 常用漢字の通用字体,,準2級
1865,望,1. 常用漢字の通用字体,,7級
1866,傍,1. 常用漢字の通用字体,,4級
1867,帽,1. 常用漢字の通用字体,,4級
1868,棒,1. 常用漢字の通用字体,,5級
1869,貿,1. 常用漢字の通用字体,,6級
1870,貌,1. 常用漢字の通用字体,,2級
1871,暴,1. 常用漢字の通用字体,,6級
1872,膨,1. 常用漢字の通用字体,,3級
1873,謀,1. 常用漢字の通用字体,,3級
1874,頰,1. 常用漢字の通用字体,,2級
1875,北,1. 常用漢字の通用字体,,9級
1876,木,1. 常用漢字の通用字体,,10級
1877,朴,1. 常用漢字の通用字体,,準2級
1878,牧,1. 常用漢字の通用字体,,7級
1879,睦,1. 常用漢字の通用字体,,2級
1880,僕,1. 常用漢字の通用字体,,準2級
1881,墨,1. 常用漢字の通用字体,墨,3級
1882,撲,1. 常用漢字の通用字体,,準2級
1883,没,1. 常用漢字の通用字体,,3級
1884,勃,1. 常用漢字の通用字体,,2級
1885,堀,1. 常用漢字の通用字体,,準2級
1886,本,1. 常用漢字の通用字体,,10級
1887,奔,1. 常用漢字の通用字体,,準2級
1888,翻,1. 常用漢字の通用字体,飜,3級
1889,凡,1. 常用漢字の通用字体,,4級
1890,盆,1. 常用漢字の通用字体,,4級
1891,麻,1. 常用漢字の通用字体,,準2級
1892,摩,1. 常用漢字の通用字体,,準2級
1893,磨,1. 常用漢字の通用字体,,準2級
1894,魔,1. 常用漢字の通用字体,,3級
1895,毎,1. 常用漢字の通用字体,每,9級
1896,妹,1. 常用漢字の通用字体,,9級
1897,枚,1. 常用漢字の通用字体,,5級
1898,昧,1. 常用漢字の通用字体,,2級
1899,埋,1. 常用漢字の通用字体,,3級
1900,幕,1. 常用漢字の通用字体,,5級
1901,膜,1. 常用漢字の通用字体,,3級
1902,枕,1. 常用漢字の通用字体,,2級
1903,又,1. 常用漢字の通用字体,,3級
1904,末,1. 常用漢字の通用字体,,7級
1905,抹,1. 常用漢字の通用字体,,準2級
1906,万,1. 常用漢字の通用字体,萬,9級
1907,満,1. 常用漢字の通用字体,,7級
1908,慢,1. 常用漢字の通用字体,,4級
1909,漫,1. 常用漢字の通用字体,,4級
1910,未,1. 常用漢字の通用字体,,7級
1911,味,1. 常用漢字の通用字体,,8級
1912,魅,1. 常用漢字の通用字体,,3級
1913,岬,1. 常用漢字の通用字体,,準2級
1914,密,1. 常用漢字の通用字体,,5級
1915,蜜,1. 常用漢字の通用字体,,2級
1916,脈,1. 常用漢字の通用字体,,6級
1917,妙,1. 常用漢字の通用字体,,4級
1918,民,1. 常用漢字の通用字体,,7級
1919,眠,1. 常用漢字の通用字体,,4級
1920,矛,1. 常用漢字の通用字体,,4級
1921,務,1. 常用漢字の通用字体,,6級
1922,無,1. 常用漢字の通用字体,,7級
1923,夢,1. 常用漢字の通用字体,,6級
1924,霧,1. 常用漢字の通用字体,,4級
1925,娘,1. 常用漢字の通用字体,,4級
1926,名,1. 常用漢字の通用字体,,10級
1927,命,1. 常用漢字の通用字体,,8級
1928,明,1. 常用漢字の通用字体,,9級
1929,迷,1. 常用漢字の通用字体,,6級
1930,冥,1. 常用漢字の通用字体,,2級
1931,盟,1. 常用漢字の通用字体,,5級
1932,銘,1. 常用漢字の通用字体,,準2級
1933,鳴,1. 常用漢字の通用字体,,9級
1934,滅,1. 常用漢字の通用字体,,3級
1935,免,1. 常用漢字の通用字体,,3級
1936,面,1. 常用漢字の通用字体,,8級
1937,綿,1. 常用漢字の通用字体,,6級
1938,麺,1. 常用漢字の通用字体,,2級
1939,茂,1. 常用漢字の通用字体,,4級
1940,模,1. 常用漢字の通用字体,,5級
1941,毛,1. 常用漢字の通用字体,,9級
1942,妄,1. 常用漢字の通用字体,,準2級
1943,盲,1. 常用漢字の通用字体,,準2級
1944,耗,1. 常用漢字の通用字体,,準2級
1945,猛,1. 常用漢字の通用字体,,4級
1946,網,1. 常用漢字の通用字体,,4級
1947,目,1. 常用漢字の通用字体,,10級
1948,黙,1. 常用漢字の通用字体,默,4級
1949,門,1. 常用漢字の通用字体,,9級
1950,紋,1. 常用漢字の通用字体,,4級
1951,問,1. 常用漢字の通用字体,,8級
1952,冶,1. 常用漢字の通用字体,,2級
1953,夜,1. 常用漢字の通用字体,,9級
1954,野,1. 常用漢字の通用字体,埜,9級
1955,弥,1. 常用漢字の通用字体,彌,2級
1956,厄,1. 常用漢字の通用字体,,準2級
1957,役,1. 常用漢字の通用字体,,8級
1958,約,1. 常用漢字の通用字体,,7級
1959,訳,1. 常用漢字の通用字体,,5級
1960,薬,1. 常用漢字の通用字体,藥,8級
1961,躍,1. 常用漢字の通用字体,,4級
1962,闇,1. 常用漢字の通用字体,,2級
1963,由,1. 常用漢字の通用字体,,8級
1964,油,1. 常用漢字の通用字体,,8級
1965,喩,1. 常用漢字の通用字体,,2級
1966,愉,1. 常用漢字の通用字体,,準2級
1967,諭,1. 常用漢字の通用字体,,準2級
1968,輸,1. 常用漢字の通用字体,,6級
1969,癒,1. 常用漢字の通用字体,,準2級
1970,唯,1. 常用漢字の通用字体,,準2級
1971,友,1. 常用漢字の通用字体,,9級
1972,有,1. 常用漢字の通用字体,,8級
1973,勇,1. 常用漢字の通用字体,,7級
1974,幽,1. 常用漢字の通用字体,,3級
1975,悠,1. 常用漢字の通用字体,,準2級
1976,郵,1. 常用漢字の通用字体,,5級
1977,湧,1. 常用漢字の通用字体,,2級
1978,猶,1. 常用漢字の通用字体,,準2級
1979,裕,1. 常用漢字の通用字体,,準2級
1980,遊,1. 常用漢字の通用字体,,8級
1981,雄,1. 常用漢字の通用字体,,4級
1982,誘,1. 常用漢字の通用字体,,3級
1983,憂,1. 常用漢字の通用字体,,3級
1984,融,1. 常用漢字の通用字体,,準2級
1985,優,1. 常用漢字の通用字体,,5級
1986,与,1. 常用漢字の通用字体,與,4級
1987,予,1. 常用漢字の通用字体,,8級
1988,余,1. 常用漢字の通用字体,,6級
1989,誉,1. 常用漢字の通用字体,,4級
1990,預,1. 常用漢字の通用字体,,5級
1991,幼,1. 常用漢字の通用字体,,5級
1992,用,1. 常用漢字の通用字体,,9級
1993,羊,1. 常用漢字の通用字体,,8級
1994,妖,1. 常用漢字の通用字体,,2級
1995,洋,1. 常用漢字の通用字体,,8級
1996,要,1. 常用漢字の通用字体,,7級
1997,容,1. 常用漢字の通用字体,,6級
1998,庸,1. 常用漢字の通用字体,,準2級
1999,揚,1. 常用漢字の通用字体,,3級
2000,揺,1. 常用漢字の通用字体,搖,3級
2001,葉,1. 常用漢字の通用字体,,8級
2002,陽,1. 常用漢字の通用字体,,8級
2003,溶,1. 常用漢字の通用字体,,4級
2004,腰,1. 常用漢字の通用字体,,4級
2005,様,1. 常用漢字の通用字体,樣,8級
2006,瘍,1. 常用漢字の通用字体,,2級
2007,踊,1. 常用漢字の通用字体,,4級
2008,窯,1. 常用漢字の通用字体,,準2級
2009,養,1. 常用漢字の通用字体,,7級
2010,擁,1. 常用漢字の通用字体,,3級
2011,謡,1. 常用漢字の通用字体,謠,4級
2012,曜,1. 常用漢字の通用字体,,9級
2013,抑,1. 常用漢字の通用字体,,3級
2014,沃,1. 常用漢字の通用字体,,2級
2015,浴,1. 常用漢字の通用字体,,7級
2016,欲,1. 常用漢字の通用字体,,5級
2017,翌,1. 常用漢字の通用字体,,5級
2018,翼,1. 常用漢字の通用字体,,4級
2019,拉,1. 常用漢字の通用字体,,2級
2020,裸,1. 常用漢字の通用字体,,3級
2021,羅,1. 常用漢字の通用字体,,準2級
2022,来,1. 常用漢字の通用字体,來,9級
2023,雷,1. 常用漢字の通用字体,,4級
2024,頼,1. 常用漢字の通用字体,賴,4級
2025,絡,1. 常用漢字の通用字体,,4級
2026,落,1. 常用漢字の通用字体,,8級
2027,酪,1. 常用漢字の通用字体,,準2級
2028,辣,1. 常用漢字の通用字体,,2級
2029,乱,1. 常用漢字の通用字体,,5級
2030,卵,1. 常用漢字の通用字体,,5級
2031,覧,1. 常用漢字の通用字体,覽,5級
2032,濫,1. 常用漢字の通用字体,,3級
2033,藍,1. 常用漢字の通用字体,,2級
2034,欄,1. 常用漢字の通用字体,欄,4級
2035,吏,1. 常用漢字の通用字体,,3級
2036,利,1. 常用漢字の通用字体,,7級
2037,里,1. 常用漢字の通用字体,,9級
2038,理,1. 常用漢字の通用字体,,9級
2039,痢,1. 常用漢字の通用字体,,準2級
2040,裏,1. 常用漢字の通用字体,,5級
2041,履,1. 常用漢字の通用字体,,準2級
2042,璃,1. 常用漢字の通用字体,,2級
2043,離,1. 常用漢字の通用字体,,4級
2044,陸,1. 常用漢字の通用字体,,7級
2045,立,1. 常用漢字の通用字体,,10級
2046,律,1. 常用漢字の通用字体,,5級
2047,慄,1. 常用漢字の通用字体,,2級
2048,略,1. 常用漢字の通用字体,,6級
2049,柳,1. 常用漢字の通用字体,,準2級
2050,流,1. 常用漢字の通用字体,,8級
2051,留,1. 常用漢字の通用字体,,6級
2052,竜,1. 常用漢字の通用字体,龍,準2級
2053,粒,1. 常用漢字の通用字体,,4級
2054,隆,1. 常用漢字の通用字体,,3級
2055,硫,1. 常用漢字の通用字体,,準2級
2056,侶,1. 常用漢字の通用字体,,2級
2057,旅,1. 常用漢字の通用字体,,8級
2058,虜,1. 常用漢字の通用字体,虜,準2級
2059,慮,1. 常用漢字の通用字体,,4級
2060,了,1. 常用漢字の通用字体,,3級
2061,両,1. 常用漢字の通用字体,,8級
2062,良,1. 常用漢字の通用字体,,7級
2063,料,1. 常用漢字の通用字体,,7級
2064,涼,1. 常用漢字の通用字体,凉,準2級
2065,猟,1. 常用漢字の通用字体,,3級
2066,陵,1. 常用漢字の通用字体,,3級
2067,量,1. 常用漢字の通用字体,,7級
2068,僚,1. 常用漢字の通用字体,,準2級
2069,領,1. 常用漢字の通用字体,,6級
2070,寮,1. 常用漢字の通用字体,,準2級
2071,療,1. 常用漢字の通用字体,,4級
2072,瞭,1. 常用漢字の通用字体,,2級
2073,糧,1. 常用漢字の通用字体,,3級
2074,力,1. 常用漢字の通用字体,,10級
2075,緑,1. 常用漢字の通用字体,綠,8級
2076,林,1. 常用漢字の通用字体,,10級
2077,厘,1. 常用漢字の通用字体,,3級
2078,倫,1. 常用漢字の通用字体,,準2級
2079,輪,1. 常用漢字の通用字体,,7級
2080,隣,1. 常用漢字の通用字体,,4級
2081,臨,1. 常用漢字の通用字体,,5級
2082,瑠,1. 常用漢字の通用字体,,2級
2083,涙,1. 常用漢字の通用字体,淚,4級
2084,累,1. 常用漢字の通用字体,,準2級
2085,塁,1. 常用漢字の通用字体,壘,準2級
2086,類,1. 常用漢字の通用字体,類,7級
2087,令,1. 常用漢字の通用字体,,7級
2088,礼,1. 常用漢字の通用字体,禮,8級
2089,冷,1. 常用漢字の通用字体,,7級
2090,励,1. 常用漢字の通用字体,,3級
2091,戻,1. 常用漢字の通用字体,,準2級
2092,例,1. 常用漢字の通用字体,,7級
2093,鈴,1. 常用漢字の通用字体,,準2級
2094,零,1. 常用漢字の通用字体,,3級
2095,霊,1. 常用漢字の通用字体,,3級
2096,隷,1. 常用漢字の通用字体,,4級
2097,齢,1. 常用漢字の通用字体,,4級
2098,麗,1. 常用漢字の通用字体,,4級
2099,暦,1. 常用漢字の通用字体,曆,4級
2100,歴,1. 常用漢字の通用字体,歷,6級
2101,列,1. 常用漢字の通用字体,,8級
2102,劣,1. 常用漢字の通用字体,,4級
2103,烈,1. 常用漢字の通用字体,,4級
2104,裂,1. 常用漢字の通用字体,,3級
2105,恋,1. 常用漢字の通用字体,,4級
2106,連,1. 常用漢字の通用字体,,7級
2107,廉,1. 常用漢字の通用字体,,3級
2108,練,1. 常用漢字の通用字体,練,8級
2109,錬,1. 常用漢字の通用字体,鍊,3級
2110,呂,1. 常用漢字の通用字体,,2級
2111,炉,1. 常用漢字の通用字体,,3級
2112,賂,1. 常用漢字の通用字体,,2級
2113,路,1. 常用漢字の通用字体,,8級
2114,露,1. 常用漢字の通用字体,,4級
2115,老,1. 常用漢字の通用字体,,7級
2116,労,1. 常用漢字の通用字体,,7級
2117,弄,1. 常用漢字の通用字体,,2級
2118,郎,1. 常用漢字の通用字体,郞,4級
2119,朗,1. 常用漢字の通用字体,朗,5級
2120,浪,1. 常用漢字の通用字体,,3級
2121,廊,1. 常用漢字の通用字体,廊,3級
2122,楼,1. 常用漢字の通用字体,,3級
2123,漏,1. 常用漢字の通用字体,,3級
2124,籠,1. 常用漢字の通用字体,,2級
2125,六,1. 常用漢字の通用字体,,10級
2126,録,1. 常用漢字の通用字体,錄,7級
2127,麓,1. 常用漢字の通用字体,,2級
2128,論,1. 常用漢字の通用字体,,5級
2129,和,1. 常用漢字の通用字体,,8級
2130,話,1. 常用漢字の通用字体,,9級
2131,賄,1. 常用漢字の通用字体,,準2級
2132,脇,1. 常用漢字の通用字体,,2級
2133,惑,1. 常用漢字の通用字体,,4級
2134,枠,1. 常用漢字の通用字体,,準2級
2135,湾,1. 常用漢字の通用字体,,3級
2136,腕,1. 常用漢字の通用字体,,4級
